Tipo, Extensao, Tamanho(bytes), TempoClient(ms), TempoServer(ms), RTT(ms),TempoTotal(ms)
SERVER+AF8-EXTERNAL,.png,81702,12,73,22.8,85
SERVER+AF8-EXTERNAL,.png,86564,12,124,22.139999999999997,136
SERVER+AF8-EXTERNAL,.pdf,107050,10,88,34.18,98
SERVER+AF8-EXTERNAL,.png,124105,23,96,26.119999999999997,119
SERVER+AF8-EXTERNAL,.pdf,321740,187,221,33.160000000000004,408
SERVER+AF8-EXTERNAL,.pdf,405687,225,254,21.94,479
SERVER+AF8-EXTERNAL,.pdf,463639,287,310,29.4,597
SERVER+AF8-EXTERNAL,.mp4,478886,330,378,24.74,708
SERVER+AF8-EXTERNAL,.pdf,573824,319,356,22.4,675
SERVER+AF8-EXTERNAL,.mp4,603517,274,292,31.040000000000003,566
SERVER+AF8-EXTERNAL,.png,848806,412,427,23.359999999999996,839
SERVER+AF8-EXTERNAL,.pdf,1009014,452,486,23.8,938
SERVER+AF8-EXTERNAL,.pdf,1084673,398,452,26.160000000000004,850
SERVER+AF8-EXTERNAL,.mp4,2232746,1207,1327,36.54,2534
SERVER+AF8-EXTERNAL,.pdf,2459010,1249,1353,29.139999999999997,2602
SERVER+AF8-EXTERNAL,.mp3,3363260,1891,2013,36.34,3904
SERVER+AF8-EXTERNAL,.pdf,3409257,1902,2016,32.339999999999996,3918
SERVER+AF8-EXTERNAL,.mp3,4846713,4103,4361,94.56,8464
SERVER+AF8-EXTERNAL,.mp3,4905254,3151,3234,34.82,6385
SERVER+AF8-EXTERNAL,.mp3,5178593,3061,3174,26.520000000000003,6235
SERVER+AF8-EXTERNAL,.mp3,5963776,3807,3860,45.160000000000004,7667
SERVER+AF8-EXTERNAL,.mp3,6897963,3614,3758,197.23999999999998,7372
SERVER+AF8-EXTERNAL,.pdf,6947882,3389,3901,36.239999999999995,7290
SERVER+AF8-EXTERNAL,.mp3,7522076,4781,4966,23.360000000000003,9747
SERVER+AF8-EXTERNAL,.mp3,7700653,4686,4789,22.74,9475
SERVER+AF8-EXTERNAL,.mp4,7953382,4329,4506,23.580000000000002,8835
SERVER+AF8-EXTERNAL,.mp3,8012705,4172,4304,39.28,8476
SERVER+AF8-EXTERNAL,.mp4,8297488,5500,5684,26.020000000000003,11184
SERVER+AF8-EXTERNAL,.mp3,9945088,5313,5514,25.380000000000003,10827
SERVER+AF8-EXTERNAL,.iso,238026752,142826,142931,24.140000000000004,285757
SERVER+AF8-EXTERNAL,.iso,647823360,402226,402492,26.78,804718
SERVER+AF8-EXTERNAL,.png,43574,10,22,39.08,32
SERVER+AF8-EXTERNAL,.png,60606,7,64,22.16,71
SERVER+AF8-EXTERNAL,.png,62303,6,55,24.119999999999997,61
SERVER+AF8-EXTERNAL,.png,62372,5,52,27.4,57
SERVER+AF8-EXTERNAL,.png,69598,11,68,22.940000000000005,79
SERVER+AF8-EXTERNAL,.png,78311,8,27,34.4,35
SERVER+AF8-EXTERNAL,.png,81702,7,92,27.78,99
SERVER+AF8-EXTERNAL,.png,86564,7,68,28.26,75
SERVER+AF8-EXTERNAL,.pdf,107050,9,77,40.62,86
SERVER+AF8-EXTERNAL,.png,124105,9,87,26.68,96
SERVER+AF8-EXTERNAL,.pdf,321740,252,320,22.18,572
SERVER+AF8-EXTERNAL,.pdf,405687,192,217,21.919999999999998,409
SERVER+AF8-EXTERNAL,.pdf,463639,311,334,21.96,645
SERVER+AF8-EXTERNAL,.mp4,478886,226,235,22.440000000000005,461
SERVER+AF8-EXTERNAL,.pdf,573824,1036,1093,25.38,2129
SERVER+AF8-EXTERNAL,.mp4,603517,366,396,21.779999999999998,762
SERVER+AF8-EXTERNAL,.png,848806,419,430,33.26,849
SERVER+AF8-EXTERNAL,.pdf,1009014,473,483,33.260000000000005,956
SERVER+AF8-EXTERNAL,.pdf,1084673,498,510,33.160000000000004,1008
SERVER+AF8-EXTERNAL,.mp4,2232746,788,796,31.560000000000002,1584
SERVER+AF8-EXTERNAL,.pdf,2459010,913,924,28.919999999999998,1837
SERVER+AF8-EXTERNAL,.mp3,3363260,1339,1506,22.18,2845
SERVER+AF8-EXTERNAL,.pdf,3409257,1376,1411,32.08,2787
SERVER+AF8-EXTERNAL,.mp3,4846713,2031,2266,21.92,4297
SERVER+AF8-EXTERNAL,.mp3,4905254,2394,2482,21.8,4876
SERVER+AF8-EXTERNAL,.mp3,5178593,2612,2780,25.639999999999997,5392
SERVER+AF8-EXTERNAL,.mp3,5963776,3231,3418,21.580000000000002,6649
SERVER+AF8-EXTERNAL,.mp3,6897963,3745,3854,26.119999999999997,7599
SERVER+AF8-EXTERNAL,.pdf,6947882,4498,4631,58.339999999999996,9129
SERVER+AF8-EXTERNAL,.mp3,7522076,3964,4071,28.160000000000004,8035
SERVER+AF8-EXTERNAL,.mp3,7700653,4046,4161,28.580000000000002,8207
SERVER+AF8-EXTERNAL,.mp4,7953382,5620,5761,21.159999999999997,11381
