 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
5178593,3400,+ACI-1487,41756663603+ACI-
9945088,6529,+ACI-1487,51723081636+ACI-
4905254,3219,+ACI-1488,12895600342+ACI-
7700653,5051,+ACI-1488,84754411255+ACI-
8297488,5439,+ACI-1489,79879113808+ACI-
6897963,4519,+ACI-1490,65987877572+ACI-
1084673,710,+ACI-1491,90278389085+ACI-
7700653,5040,+ACI-1492,09701295883+ACI-
3363260,2201,+ACI-1492,24606712858+ACI-
8012705,5231,+ACI-1495,87215189495+ACI-
6947882,4535,+ACI-1496,1501688258+ACI-
6947882,4535,+ACI-1496,1501688258+ACI-
6947882,4530,+ACI-1497,80154870309+ACI-
2232746,1455,+ACI-1498,56770833333+ACI-
8012705,5221,+ACI-1498,73725848736+ACI-
3409257,2220,+ACI-1499,70835092905+ACI-
3363260,2190,+ACI-1499,74136700913+ACI-
4846713,3153,+ACI-1501,14753062559+ACI-
5963776,3877,+ACI-1502,19241681713+ACI-
2232746,1449,+ACI-1504,7729576432+ACI-
7700653,4981,+ACI-1509,770918553+ACI-
8297488,5359,+ACI-1512,03874323568+ACI-
7700653,4955,+ACI-1517,69302629919+ACI-
2232746,1436,+ACI-1518,39555405641+ACI-
4846713,3117,+ACI-1518,48513444418+ACI-
3363260,2160,+ACI-1520,57110821759+ACI-
8012705,5139,+ACI-1522,65172729373+ACI-
9945088,6375,+ACI-1523,45098039216+ACI-
7522076,4820,+ACI-1524,02019579876+ACI-
2459010,1575,+ACI-1524,6837797619+ACI-
3409257,2178,+ACI-1528,628346677+ACI-
124105,79,+ACI-1534,13024129747+ACI-
2459010,1565,+ACI-1534,42616813099+ACI-
1009014,642,+ACI-1534,83681366822+ACI-
2459010,1563,+ACI-1536,3896053263+ACI-
2232746,1418,+ACI-1537,66996870592+ACI-
3409257,2164,+ACI-1538,5178091786+ACI-
2459010,1555,+ACI-1544,29386053055+ACI-
3409257,2151,+ACI-1547,81615019177+ACI-
573824,359,+ACI-1560,93314763231+ACI-
2232746,1393,+ACI-1565,26634287509+ACI-
1084673,675,+ACI-1569,26070601852+ACI-
1084673,675,+ACI-1569,26070601852+ACI-
1084673,672,+ACI-1576,26633417039+ACI-
1009014,622,+ACI-1584,18847970257+ACI-
1009014,617,+ACI-1597,02631179092+ACI-
848806,519,+ACI-1597,13315871869+ACI-
1084673,662,+ACI-1600,07700387085+ACI-
1009014,610,+ACI-1615,35284323771+ACI-
848806,511,+ACI-1622,13720034247+ACI-
1009014,607,+ACI-1623,33646519769+ACI-
463639,277,+ACI-1634,557620713+ACI-
848806,507,+ACI-1634,93512697239+ACI-
1009014,600,+ACI-1642,275390625+ACI-
1084673,643,+ACI-1647,35766183904+ACI-
848806,503,+ACI-1647,93659915507+ACI-
848806,499,+ACI-1661,14651177355+ACI-
848806,498,+ACI-1664,48214733936+ACI-
848806,497,+ACI-1667,83120598592+ACI-
1009014,580,+ACI-1698,90557650862+ACI-
43574,25,+ACI-1702,109375+ACI-
1009014,576,+ACI-1710,70353190104+ACI-
573824,323,+ACI-1734,90712074303+ACI-
603517,339,+ACI-1738,56067938791+ACI-
1084673,600,+ACI-1765,41829427083+ACI-
573824,317,+ACI-1767,74447949527+ACI-
603517,328,+ACI-1796,86606802591+ACI-
1084673,589,+ACI-1798,38875477504+ACI-
405687,220,+ACI-1800,81232244318+ACI-
405687,219,+ACI-1809,03520976027+ACI-
603517,322,+ACI-1830,34804444876+ACI-
405687,216,+ACI-1834,16069878472+ACI-
603517,318,+ACI-1853,37129029088+ACI-
405687,213,+ACI-1859,99394806338+ACI-
478886,250,+ACI-1870,6484375+ACI-
573824,299,+ACI-1874,16387959866+ACI-
603517,314,+ACI-1876,9811156449+ACI-
573824,297,+ACI-1886,78451178451+ACI-
463639,238,+ACI-1902,40529805672+ACI-
463639,237,+ACI-1910,4323246308+ACI-
463639,237,+ACI-1910,4323246308+ACI-
405687,207,+ACI-1913,90681612319+ACI-
463639,235,+ACI-1926,6913231383+ACI-
848806,430,+ACI-1927,70257994186+ACI-
463639,234,+ACI-1934,92504674145+ACI-
603517,303,+ACI-1945,12234426568+ACI-
478886,240,+ACI-1948,59212239583+ACI-
478886,239,+ACI-1956,74522751046+ACI-
463639,231,+ACI-1960,05394345238+ACI-
463639,230,+ACI-1968,57591711957+ACI-
405687,201,+ACI-1971,03836287313+ACI-
573824,283,+ACI-1980,12367491166+ACI-
573824,283,+ACI-1980,12367491166+ACI-
405687,200,+ACI-1980,8935546875+ACI-
405687,200,+ACI-1980,8935546875+ACI-
478886,235,+ACI-1990,05152925532+ACI-
478886,233,+ACI-2007,1335166309+ACI-
478886,229,+ACI-2042,19261735808+ACI-
478886,229,+ACI-2042,19261735808+ACI-
478886,227,+ACI-2060,18550385463+ACI-
573824,272,+ACI-2060,20220588235+ACI-
321740,152,+ACI-2067,10012335526+ACI-
463639,217,+ACI-2086,50903657834+ACI-
603517,281,+ACI-2097,40950289146+ACI-
463639,215,+ACI-2105,91842296512+ACI-
573824,266,+ACI-2106,67293233083+ACI-
405687,186,+ACI-2129,99306955645+ACI-
321740,146,+ACI-2152,04944349315+ACI-
603517,272,+ACI-2166,80908203125+ACI-
321740,144,+ACI-2181,93901909722+ACI-
603517,268,+ACI-2199,14951609142+ACI-
321740,142,+ACI-2212,67055457746+ACI-
321740,142,+ACI-2212,67055457746+ACI-
321740,139,+ACI-2260,42603417266+ACI-
405687,173,+ACI-2290,05035223988+ACI-
603517,250,+ACI-2357,48828125+ACI-
478886,196,+ACI-2386,03117028061+ACI-
321740,130,+ACI-2416,91706730769+ACI-
321740,118,+ACI-2662,70524364407+ACI-
478886,174,+ACI-2687,71327227012+ACI-
321740,108,+ACI-2909,25202546296+ACI-
107050,35,+ACI-2986,88616071429+ACI-
107050,32,+ACI-3266,90673828125+ACI-
43574,13,+ACI-3273,28725961538+ACI-
321740,91,+ACI-3452,73866758242+ACI-
43574,12,+ACI-3546,06119791667+ACI-
43574,12,+ACI-3546,06119791667+ACI-
