 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
8012705,4206,+ACI-1860,41541287744+ACI-
4846713,2544,+ACI-1860,50242298054+ACI-
7953382,4172,+ACI-1861,69094184444+ACI-
7700653,4039,+ACI-1861,88882032991+ACI-
3409257,1788,+ACI-1862,05399276426+ACI-
6897963,3616,+ACI-1862,91260845893+ACI-
2459010,1289,+ACI-1862,9766897789+ACI-
7953382,4169,+ACI-1863,0306091089+ACI-
8012705,4200,+ACI-1863,07314918155+ACI-
4846713,2539,+ACI-1864,16627178515+ACI-
9945088,5209,+ACI-1864,4653484354+ACI-
4846713,2538,+ACI-1864,90077386229+ACI-
3409257,1785,+ACI-1865,18349527311+ACI-
8012705,4195,+ACI-1865,29373696365+ACI-
7700653,4031,+ACI-1865,58396063322+ACI-
9945088,5200,+ACI-1867,69230769231+ACI-
405687,212,+ACI-1868,76750442217+ACI-
321740,168,+ACI-1870,23344494048+ACI-
478886,250,+ACI-1870,6484375+ACI-
7700653,4020,+ACI-1870,68879236629+ACI-
848806,443,+ACI-1871,13342974041+ACI-
6897963,3600,+ACI-1871,19222005208+ACI-
6947882,3622,+ACI-1873,28575804114+ACI-
4905254,2556,+ACI-1874,13423684468+ACI-
3409257,1776,+ACI-1874,63543866132+ACI-
6897963,3592,+ACI-1875,35968602102+ACI-
3363260,1751,+ACI-1875,74734080525+ACI-
6897963,3590,+ACI-1876,40445464833+ACI-
5178593,2695,+ACI-1876,51937905844+ACI-
405687,211,+ACI-1877,62422245261+ACI-
1084673,564,+ACI-1878,10456837323+ACI-
4846713,2520,+ACI-1878,2214936756+ACI-
5178593,2691,+ACI-1879,30870552304+ACI-
6947882,3610,+ACI-1879,51274671053+ACI-
3363260,1747,+ACI-1880,04212578706+ACI-
3409257,1770,+ACI-1880,99013506356+ACI-
6897963,3581,+ACI-1881,1203552604+ACI-
1084673,563,+ACI-1881,44045570604+ACI-
7522076,3903,+ACI-1882,08489463233+ACI-
2232746,1158,+ACI-1882,91538482297+ACI-
2232746,1158,+ACI-1882,91538482297+ACI-
5963776,3093,+ACI-1882,96152602651+ACI-
5963776,3091,+ACI-1884,17987706244+ACI-
5178593,2684,+ACI-1884,2100322513+ACI-
405687,210,+ACI-1886,56529017857+ACI-
4846713,2507,+ACI-1887,96097489529+ACI-
69598,36,+ACI-1887,96657986111+ACI-
69598,36,+ACI-1887,96657986111+ACI-
2459010,1271,+ACI-1889,3603093037+ACI-
1009014,521,+ACI-1891,29603526871+ACI-
3409257,1759,+ACI-1892,75300685759+ACI-
2459010,1268,+ACI-1893,83040467271+ACI-
6947882,3582,+ACI-1894,20463864461+ACI-
1009014,520,+ACI-1894,93314302885+ACI-
5963776,3072,+ACI-1895,83333333333+ACI-
7522076,3871,+ACI-1897,64333344097+ACI-
1084673,558,+ACI-1898,29924115143+ACI-
81702,42,+ACI-1899,69308035714+ACI-
7522076,3866,+ACI-1900,09760572944+ACI-
5963776,3064,+ACI-1900,78328981723+ACI-
3409257,1751,+ACI-1901,40065052113+ACI-
7700653,3952,+ACI-1902,87675741713+ACI-
5178593,2656,+ACI-1904,07369222986+ACI-
6897963,3537,+ACI-1904,52134356446+ACI-
4905254,2513,+ACI-1906,20259028054+ACI-
4846713,2483,+ACI-1906,20949015807+ACI-
5178593,2652,+ACI-1906,94559825132+ACI-
4905254,2511,+ACI-1907,72087191358+ACI-
7522076,3850,+ACI-1907,99411525974+ACI-
7522076,3843,+ACI-1911,46951437679+ACI-
3409257,1741,+ACI-1912,3219638498+ACI-
5963776,3044,+ACI-1913,27201051248+ACI-
1009014,515,+ACI-1913,33055218447+ACI-
2232746,1138,+ACI-1916,00704360721+ACI-
2232746,1138,+ACI-1916,00704360721+ACI-
5178593,2637,+ACI-1917,7928428375+ACI-
3409257,1736,+ACI-1917,82980360743+ACI-
573824,292,+ACI-1919,09246575342+ACI-
7522076,3821,+ACI-1922,47509650615+ACI-
4905254,2488,+ACI-1925,35655521503+ACI-
7522076,3811,+ACI-1927,51963887431+ACI-
6947882,3508,+ACI-1934,16220513826+ACI-
3363260,1698,+ACI-1934,29540267962+ACI-
1009014,509,+ACI-1935,8845469057+ACI-
3363260,1695,+ACI-1937,71893436578+ACI-
2232746,1125,+ACI-1938,14756944444+ACI-
69598,35,+ACI-1941,90848214286+ACI-
7522076,3780,+ACI-1943,3273396164+ACI-
7522076,3776,+ACI-1945,38594908634+ACI-
4846713,2432,+ACI-1946,1834556178+ACI-
2232746,1118,+ACI-1950,28266156082+ACI-
2459010,1228,+ACI-1955,51869146987+ACI-
848806,423,+ACI-1959,60309544917+ACI-
5963776,2971,+ACI-1960,2827330865+ACI-
62372,31,+ACI-1964,84375+ACI-
3363260,1670,+ACI-1966,72670284431+ACI-
6897963,3411,+ACI-1974,87305546394+ACI-
2459010,1209,+ACI-1986,25058157568+ACI-
3363260,1643,+ACI-1999,04661822885+ACI-
647823360,313645,+ACI-2017,05750131518+ACI-
1084673,525,+ACI-2017,6209077381+ACI-
6947882,3357,+ACI-2021,16205410337+ACI-
238026752,114940,+ACI-2022,34209152601+ACI-
647823360,312382,+ACI-2025,21272032319+ACI-
3363260,1616,+ACI-2032,44653078589+ACI-
107050,51,+ACI-2049,82383578431+ACI-
647823360,308239,+ACI-2052,43333906482+ACI-
124105,59,+ACI-2054,17439088983+ACI-
647823360,307812,+ACI-2055,2804958871+ACI-
238026752,112925,+ACI-2058,42816028337+ACI-
647823360,307035,+ACI-2060,48170404026+ACI-
238026752,112773,+ACI-2061,2025928192+ACI-
86564,41,+ACI-2061,83307926829+ACI-
238026752,112535,+ACI-2065,56182520993+ACI-
2459010,1160,+ACI-2070,15254579741+ACI-
647823360,304698,+ACI-2076,28537108875+ACI-
238026752,111080,+ACI-2092,61793302125+ACI-
238026752,110952,+ACI-2095,03208594708+ACI-
238026752,110814,+ACI-2097,64109228076+ACI-
238026752,110649,+ACI-2100,76909868142+ACI-
86564,40,+ACI-2113,37890625+ACI-
60606,28,+ACI-2113,76953125+ACI-
60606,28,+ACI-2113,76953125+ACI-
647823360,298705,+ACI-2117,94245158267+ACI-
43574,20,+ACI-2127,63671875+ACI-
238026752,109180,+ACI-2129,03462172559+ACI-
647823360,295688,+ACI-2139,55250128514+ACI-
647823360,290485,+ACI-2177,8749333012+ACI-
238026752,106115,+ACI-2190,52914291099+ACI-
647823360,287717,+ACI-2198,82731990115+ACI-
62372,27,+ACI-2255,93171296296+ACI-
62372,27,+ACI-2255,93171296296+ACI-
69598,29,+ACI-2343,68265086207+ACI-
43574,14,+ACI-3039,48102678571+ACI-
43574,7,+ACI-6078,96205357143+ACI-
43574,5,+ACI-8510,546875+ACI-
43574,5,+ACI-8510,546875+ACI-
43574,5,+ACI-8510,546875+ACI-
43574,5,+ACI-8510,546875+ACI-
43574,5,+ACI-8510,546875+ACI-
43574,4,+ACI-10638,18359375+ACI-
43574,4,+ACI-10638,18359375+ACI-
