Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms); RTT(ms)
SERVER_LOCAL;.mp3;8012705;4090;4268;2.082
SERVER_LOCAL;.mp4;8297488;4278;4405;2.5460000000000003
SERVER_LOCAL;.mp3;9945088;5157;5289;3.5759999999999996
SERVER_LOCAL;.iso;238026752;112512;112535;2.0460000000000003
SERVER_LOCAL;.iso;647823360;298795;298705;2.7199999999999998
SERVER_LOCAL;.png;43574;14;5;4.084
SERVER_LOCAL;.png;60606;7;33;2.606
SERVER_LOCAL;.png;62303;7;39;2.444
SERVER_LOCAL;.png;62372;11;41;2.71
SERVER_LOCAL;.png;69598;6;36;2.248
SERVER_LOCAL;.png;78311;17;44;2.6799999999999997
SERVER_LOCAL;.png;81702;5;46;2.0300000000000002
SERVER_LOCAL;.png;86564;8;40;2.714
SERVER_LOCAL;.pdf;107050;10;96;4.460000000000001
SERVER_LOCAL;.png;124105;19;74;1.886
SERVER_LOCAL;.pdf;321740;129;168;1.986
SERVER_LOCAL;.pdf;405687;182;218;2.8739999999999997
SERVER_LOCAL;.pdf;463639;224;246;2.802
SERVER_LOCAL;.mp4;478886;258;278;2.902
SERVER_LOCAL;.pdf;573824;258;305;2.134
SERVER_LOCAL;.mp4;603517;305;339;2.57
SERVER_LOCAL;.png;848806;520;552;2.6919999999999997
SERVER_LOCAL;.pdf;1009014;562;566;3.13
SERVER_LOCAL;.pdf;1084673;578;626;3.5200000000000005
SERVER_LOCAL;.mp4;2232746;1157;1177;3.2159999999999997
SERVER_LOCAL;.pdf;2459010;1538;1566;2.5799999999999996
SERVER_LOCAL;.mp3;3363260;2485;1616;2.6
SERVER_LOCAL;.pdf;3409257;1734;1770;3.1260000000000003
SERVER_LOCAL;.mp3;4846713;2500;2544;2.6399999999999997
SERVER_LOCAL;.mp3;4905254;2553;2625;2.4959999999999996
SERVER_LOCAL;.mp3;5178593;2748;2838;1.8519999999999999
SERVER_LOCAL;.mp3;5963776;2979;3072;2.5460000000000003
SERVER_LOCAL;.mp3;6897963;3674;3795;3.086
SERVER_LOCAL;.pdf;6947882;3845;3933;2.4159999999999995
SERVER_LOCAL;.mp3;7522076;4629;4453;2.534
SERVER_LOCAL;.mp3;7700653;4094;4255;2.34
SERVER_LOCAL;.mp4;7953382;4154;4250;2.458
SERVER_LOCAL;.mp3;8012705;4099;4249;2.534
SERVER_LOCAL;.mp4;8297488;4465;4537;2.718
SERVER_LOCAL;.mp3;9945088;5093;5200;2.84
SERVER_LOCAL;.iso;238026752;111337;110649;46.762
SERVER_LOCAL;.iso;647823360;312255;312382;2.5620000000000003
SERVER_LOCAL;.png;43574;7;5;4.988
SERVER_LOCAL;.png;60606;7;36;2.9220000000000006
SERVER_LOCAL;.png;62303;7;38;2.7359999999999998
SERVER_LOCAL;.png;62372;4;64;2.0679999999999996
SERVER_LOCAL;.png;69598;5;36;2.22
