Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_LOCAL;.pdf;1084673;795;672
SERVER_LOCAL;.mp4;2232746;1617;1476
SERVER_LOCAL;.pdf;2459010;1755;1555
SERVER_LOCAL;.mp3;3363260;3440;2384
SERVER_LOCAL;.pdf;3409257;2345;2164
SERVER_LOCAL;.mp3;4846713;3350;3190
SERVER_LOCAL;.mp3;4905254;3437;3268
SERVER_LOCAL;.mp3;5178593;3663;3413
SERVER_LOCAL;.mp3;5963776;4201;3992
SERVER_LOCAL;.mp3;6897963;4788;4562
SERVER_LOCAL;.pdf;6947882;5432;4686
SERVER_LOCAL;.mp3;7522076;5279;5021
SERVER_LOCAL;.mp3;7700653;5765;5324
SERVER_LOCAL;.mp4;7953382;5556;5394
SERVER_LOCAL;.mp3;8012705;5597;5342
SERVER_LOCAL;.mp4;8297488;6777;5735
SERVER_LOCAL;.mp3;9945088;7062;6904
SERVER_LOCAL;.iso;238026752;161295;159458
SERVER_LOCAL;.iso;647823360;478541;474975
SERVER_LOCAL;.png;43574;51;12
SERVER_LOCAL;.png;60606;57;1
SERVER_LOCAL;.png;62303;60;1
SERVER_LOCAL;.png;62372;69;0
SERVER_LOCAL;.png;69598;81;0
SERVER_LOCAL;.png;78311;113;0
SERVER_LOCAL;.png;81702;76;0
SERVER_LOCAL;.png;86564;73;0
SERVER_LOCAL;.pdf;107050;106;32
SERVER_LOCAL;.png;124105;113;22
SERVER_LOCAL;.pdf;321740;238;91
SERVER_LOCAL;.pdf;405687;317;207
SERVER_LOCAL;.pdf;463639;356;231
SERVER_LOCAL;.mp4;478886;361;174
SERVER_LOCAL;.pdf;573824;404;283
SERVER_LOCAL;.mp4;603517;426;250
SERVER_LOCAL;.png;848806;603;499
SERVER_LOCAL;.pdf;1009014;784;610
SERVER_LOCAL;.pdf;1084673;755;589
SERVER_LOCAL;.mp4;2232746;1525;1393
SERVER_LOCAL;.pdf;2459010;2185;2003
SERVER_LOCAL;.mp3;3363260;2895;2285
SERVER_LOCAL;.pdf;3409257;2450;2308
SERVER_LOCAL;.mp3;4846713;3366;3216
SERVER_LOCAL;.mp3;4905254;3431;3226
SERVER_LOCAL;.mp3;5178593;3545;3400
SERVER_LOCAL;.mp3;5963776;4180;4016
SERVER_LOCAL;.mp3;6897963;4803;4561
SERVER_LOCAL;.pdf;6947882;5363;4667
SERVER_LOCAL;.mp3;7522076;5090;4820
SERVER_LOCAL;.mp3;7700653;5206;4981
SERVER_LOCAL;.mp4;7953382;5522;5278
SERVER_LOCAL;.mp3;8012705;5749;5553
SERVER_LOCAL;.mp4;8297488;6157;5439
SERVER_LOCAL;.mp3;9945088;6850;6375
SERVER_LOCAL;.iso;238026752;160130;158921
SERVER_LOCAL;.iso;647823360;440478;438640
SERVER_LOCAL;.png;43574;59;11
SERVER_LOCAL;.png;60606;67;0
SERVER_LOCAL;.png;62303;158;0
SERVER_LOCAL;.png;62372;71;0
SERVER_LOCAL;.png;69598;66;1
SERVER_LOCAL;.png;78311;89;1
SERVER_LOCAL;.png;81702;78;1
SERVER_LOCAL;.png;86564;81;0
SERVER_LOCAL;.pdf;107050;100;27
SERVER_LOCAL;.png;124105;99;14
SERVER_LOCAL;.pdf;321740;242;144
SERVER_LOCAL;.pdf;405687;334;200
SERVER_LOCAL;.pdf;463639;336;235
SERVER_LOCAL;.mp4;478886;371;235
SERVER_LOCAL;.pdf;573824;424;272
SERVER_LOCAL;.mp4;603517;469;318
SERVER_LOCAL;.png;848806;628;519
SERVER_LOCAL;.pdf;1009014;716;607
SERVER_LOCAL;.pdf;1084673;800;675
SERVER_LOCAL;.mp4;2232746;1633;1480
SERVER_LOCAL;.pdf;2459010;1810;1652
SERVER_LOCAL;.mp3;3363260;2809;2368
SERVER_LOCAL;.pdf;3409257;2582;2402
SERVER_LOCAL;.mp3;4846713;3762;3595
SERVER_LOCAL;.mp3;4905254;3667;3481
SERVER_LOCAL;.mp3;5178593;3730;3512
SERVER_LOCAL;.mp3;5963776;4140;3938
SERVER_LOCAL;.mp3;6897963;5486;5160
SERVER_LOCAL;.pdf;6947882;7089;5820
SERVER_LOCAL;.mp3;7522076;5535;4959
SERVER_LOCAL;.mp3;7700653;5471;5171
SERVER_LOCAL;.mp4;7953382;6175;5908
SERVER_LOCAL;.mp3;8012705;5730;5431
SERVER_LOCAL;.mp4;8297488;7207;6091
SERVER_LOCAL;.mp3;9945088;6996;6555
SERVER_LOCAL;.iso;238026752;172869;170488
SERVER_LOCAL;.iso;647823360;440087;438139
SERVER_LOCAL;.png;43574;68;11
SERVER_LOCAL;.png;60606;79;0
SERVER_LOCAL;.png;62303;89;0
SERVER_LOCAL;.png;62372;67;0
SERVER_LOCAL;.png;69598;62;0
SERVER_LOCAL;.png;78311;113;1
SERVER_LOCAL;.png;81702;69;0
SERVER_LOCAL;.png;86564;87;0
SERVER_LOCAL;.pdf;107050;99;29
SERVER_LOCAL;.png;124105;97;17
SERVER_LOCAL;.pdf;321740;250;130
SERVER_LOCAL;.pdf;405687;328;213
SERVER_LOCAL;.pdf;463639;360;238
SERVER_LOCAL;.mp4;478886;369;229
SERVER_LOCAL;.pdf;573824;476;384
SERVER_LOCAL;.mp4;603517;437;272
SERVER_LOCAL;.png;848806;623;503
SERVER_LOCAL;.pdf;1009014;785;709
SERVER_LOCAL;.pdf;1084673;843;600
SERVER_LOCAL;.mp4;2232746;1634;1511
SERVER_LOCAL;.pdf;2459010;2041;1654
SERVER_LOCAL;.mp3;3363260;2344;2190
SERVER_LOCAL;.pdf;3409257;2468;2266
SERVER_LOCAL;.mp3;4846713;3449;3258
SERVER_LOCAL;.mp3;4905254;3487;3235
SERVER_LOCAL;.mp3;5178593;3699;3557
SERVER_LOCAL;.mp3;5963776;4608;4413
SERVER_LOCAL;.mp3;6897963;4708;4519
SERVER_LOCAL;.pdf;6947882;5075;4535
SERVER_LOCAL;.mp3;7522076;5226;4949
SERVER_LOCAL;.mp3;7700653;5267;4955
SERVER_LOCAL;.mp4;7953382;5628;5412
SERVER_LOCAL;.mp3;8012705;5484;5139
SERVER_LOCAL;.mp4;8297488;6237;5551
SERVER_LOCAL;.mp3;9945088;7193;6898
SERVER_LOCAL;.iso;238026752;163374;162807
SERVER_LOCAL;.iso;647823360;481049;478524
