23.4,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818104160,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818104184,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818104187,1513818108330,.mp3,7700653,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818108333,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.42,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818109695,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818109721,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818109726,1513818114484,.mp4,7953382,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818114489,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.98,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818116881,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818116907,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818116913,1513818121024,.mp3,8012705,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818121029,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
36.36,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818122514,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818122543,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818122544,1513818126530,.mp4,8297488,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818126536,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.4,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818128929,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818128954,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818128955,1513818134229,.mp3,9945088,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818134235,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
39.839999999999996,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818135703,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818135731,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818135737,1513818286924,.iso,238026752,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818286937,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
35.4,,,,,,,,
REQUEST_CONNECT,CLIENT,1513818288410,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513818288482,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513818288483,1513818683564,.iso,647823360,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513818683584,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
