Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_EXTERNAL;.png;848806;507;425
SERVER_EXTERNAL;.pdf;1009014;558;406
SERVER_EXTERNAL;.pdf;1084673;543;384
SERVER_EXTERNAL;.mp4;2232746;942;692
SERVER_EXTERNAL;.pdf;2459010;847;541
SERVER_EXTERNAL;.mp3;3363260;1625;1107
SERVER_EXTERNAL;.pdf;3409257;1625;1147
SERVER_EXTERNAL;.mp3;4846713;2859;2204
SERVER_EXTERNAL;.mp3;4905254;2757;2250
SERVER_EXTERNAL;.mp3;5178593;3164;2418
SERVER_EXTERNAL;.mp3;5963776;3365;3062
SERVER_EXTERNAL;.mp3;6897963;4069;3875
SERVER_EXTERNAL;.pdf;6947882;3806;3309
SERVER_EXTERNAL;.mp3;7522076;4243;3499
SERVER_EXTERNAL;.mp3;7700653;4544;3689
SERVER_EXTERNAL;.mp4;7953382;4326;3578
SERVER_EXTERNAL;.mp3;8012705;4347;3727
SERVER_EXTERNAL;.mp4;8297488;5275;3905
SERVER_EXTERNAL;.mp3;9945088;5425;5224
SERVER_EXTERNAL;.iso;238026752;133330;131654
SERVER_EXTERNAL;.iso;647823360;371447;365217
SERVER_EXTERNAL;.png;43574;115;60
SERVER_EXTERNAL;.png;60606;143;26
SERVER_EXTERNAL;.png;62303;110;3
SERVER_EXTERNAL;.png;62372;112;2
SERVER_EXTERNAL;.png;69598;119;2
SERVER_EXTERNAL;.png;78311;103;6
SERVER_EXTERNAL;.png;81702;218;1
SERVER_EXTERNAL;.png;86564;227;2
SERVER_EXTERNAL;.pdf;107050;146;26
SERVER_EXTERNAL;.png;124105;158;25
SERVER_EXTERNAL;.pdf;321740;287;100
SERVER_EXTERNAL;.pdf;405687;384;156
SERVER_EXTERNAL;.pdf;463639;394;227
SERVER_EXTERNAL;.mp4;478886;393;399
SERVER_EXTERNAL;.pdf;573824;444;286
SERVER_EXTERNAL;.mp4;603517;462;292
SERVER_EXTERNAL;.png;848806;498;347
SERVER_EXTERNAL;.pdf;1009014;599;362
SERVER_EXTERNAL;.pdf;1084673;595;425
SERVER_EXTERNAL;.mp4;2232746;1039;777
SERVER_EXTERNAL;.pdf;2459010;1022;551
SERVER_EXTERNAL;.mp3;3363260;1635;1086
SERVER_EXTERNAL;.pdf;3409257;1612;1293
SERVER_EXTERNAL;.mp3;4846713;2392;2237
SERVER_EXTERNAL;.mp3;4905254;2647;2059
SERVER_EXTERNAL;.mp3;5178593;3014;2688
SERVER_EXTERNAL;.mp3;5963776;3461;2706
SERVER_EXTERNAL;.mp3;6897963;3701;3666
SERVER_EXTERNAL;.pdf;6947882;3673;3237
SERVER_EXTERNAL;.mp3;7522076;3989;3586
SERVER_EXTERNAL;.mp3;7700653;4215;4023
SERVER_EXTERNAL;.mp4;7953382;4806;3775
SERVER_EXTERNAL;.mp3;8012705;4587;3895
SERVER_EXTERNAL;.mp4;8297488;4758;4997
SERVER_EXTERNAL;.mp3;9945088;5600;4894
SERVER_EXTERNAL;.iso;238026752;134679;132945
SERVER_EXTERNAL;.iso;647823360;364690;370923
SERVER_EXTERNAL;.png;43574;103;11
SERVER_EXTERNAL;.png;60606;198;2
SERVER_EXTERNAL;.png;62303;126;11
SERVER_EXTERNAL;.png;62372;127;4
SERVER_EXTERNAL;.png;69598;159;20
SERVER_EXTERNAL;.png;78311;126;3
SERVER_EXTERNAL;.png;81702;138;3
SERVER_EXTERNAL;.png;86564;254;17
SERVER_EXTERNAL;.pdf;107050;167;49
SERVER_EXTERNAL;.png;124105;165;51
SERVER_EXTERNAL;.pdf;321740;311;176
SERVER_EXTERNAL;.pdf;405687;629;480
SERVER_EXTERNAL;.pdf;463639;467;311
SERVER_EXTERNAL;.mp4;478886;611;351
SERVER_EXTERNAL;.pdf;573824;800;623
SERVER_EXTERNAL;.mp4;603517;561;427
SERVER_EXTERNAL;.png;848806;754;599
SERVER_EXTERNAL;.pdf;1009014;576;426
SERVER_EXTERNAL;.pdf;1084673;573;380
SERVER_EXTERNAL;.mp4;2232746;884;711
SERVER_EXTERNAL;.pdf;2459010;940;732
SERVER_EXTERNAL;.mp3;3363260;1409;846
SERVER_EXTERNAL;.pdf;3409257;1728;1488
SERVER_EXTERNAL;.mp3;4846713;2602;2119
SERVER_EXTERNAL;.mp3;4905254;2759;2036
SERVER_EXTERNAL;.mp3;5178593;3117;2438
SERVER_EXTERNAL;.mp3;5963776;3396;2872
SERVER_EXTERNAL;.mp3;6897963;3648;3306
SERVER_EXTERNAL;.pdf;6947882;4044;3604
SERVER_EXTERNAL;.mp3;7522076;4327;3541
SERVER_EXTERNAL;.mp3;7700653;4914;4382
SERVER_EXTERNAL;.mp4;7953382;4306;3827
SERVER_EXTERNAL;.mp3;8012705;6744;5848
SERVER_EXTERNAL;.mp4;8297488;7053;6796
SERVER_EXTERNAL;.mp3;9945088;5546;5114
SERVER_EXTERNAL;.iso;238026752;133809;133401
SERVER_EXTERNAL;.iso;647823360;364228;363624
