SEND,CLIENT,192.168.1.3,XT1069,1513802354113,1513802354119,.png,78311,SERVER_LOCAL
DISCONNECT,CLIENT,1513802354122,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
3.2019999999999995
REQUEST_CONNECT,CLIENT,1513802355394,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802355398,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802355399,1513802355404,.png,81702,SERVER_LOCAL
DISCONNECT,CLIENT,1513802355406,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.964
REQUEST_CONNECT,CLIENT,1513802356633,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802356637,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802356638,1513802356646,.png,86564,SERVER_LOCAL
DISCONNECT,CLIENT,1513802356649,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.2979999999999996
REQUEST_CONNECT,CLIENT,1513802357884,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802357887,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802357888,1513802357899,.pdf,107050,SERVER_LOCAL
DISCONNECT,CLIENT,1513802357901,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.784
REQUEST_CONNECT,CLIENT,1513802359185,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802359189,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802359189,1513802359199,.png,124105,SERVER_LOCAL
DISCONNECT,CLIENT,1513802359203,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.504
REQUEST_CONNECT,CLIENT,1513802360427,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802360432,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802360432,1513802360573,.pdf,321740,SERVER_LOCAL
DISCONNECT,CLIENT,1513802360577,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.082
REQUEST_CONNECT,CLIENT,1513802361896,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802361903,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802361905,1513802362090,.pdf,405687,SERVER_LOCAL
DISCONNECT,CLIENT,1513802362095,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.132
REQUEST_CONNECT,CLIENT,1513802363343,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802363347,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802363347,1513802363557,.pdf,463639,SERVER_LOCAL
DISCONNECT,CLIENT,1513802363561,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.5699999999999994
REQUEST_CONNECT,CLIENT,1513802364839,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802364843,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802364843,1513802365080,.mp4,478886,SERVER_LOCAL
DISCONNECT,CLIENT,1513802365087,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
3.6380000000000003
REQUEST_CONNECT,CLIENT,1513802366329,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802366339,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802366341,1513802366603,.pdf,573824,SERVER_LOCAL
DISCONNECT,CLIENT,1513802366608,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.82
REQUEST_CONNECT,CLIENT,1513802367852,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802367856,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802367857,1513802368465,.mp4,603517,SERVER_LOCAL
DISCONNECT,CLIENT,1513802368468,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.162
REQUEST_CONNECT,CLIENT,1513802369755,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802369758,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802369760,1513802370196,.png,848806,SERVER_LOCAL
DISCONNECT,CLIENT,1513802370200,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.272
REQUEST_CONNECT,CLIENT,1513802371440,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802371444,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802371446,1513802371965,.pdf,1009014,SERVER_LOCAL
DISCONNECT,CLIENT,1513802371969,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.054
REQUEST_CONNECT,CLIENT,1513802373234,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802373238,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802373239,1513802373799,.pdf,1084673,SERVER_LOCAL
DISCONNECT,CLIENT,1513802373804,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.06
REQUEST_CONNECT,CLIENT,1513802375119,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
