 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
478886,188,+ACI-2487,56441156915+ACI-
3409257,1336,+ACI-2492,03034360966+ACI-
1084673,425,+ACI-2492,35523897059+ACI-
321740,126,+ACI-2493,64459325397+ACI-
463639,179,+ACI-2529,45508903631+ACI-
4846713,1866,+ACI-2536,50491107315+ACI-
405687,156,+ACI-2539,60712139423+ACI-
405687,155,+ACI-2555,99168346774+ACI-
5178593,1978,+ACI-2556,73393658367+ACI-
3409257,1293,+ACI-2574,90528929814+ACI-
463639,175,+ACI-2587,27120535714+ACI-
478886,180,+ACI-2598,12282986111+ACI-
1084673,407,+ACI-2602,58225199631+ACI-
603517,225,+ACI-2619,43142361111+ACI-
1084673,402,+ACI-2634,95267801617+ACI-
43574,16,+ACI-2659,5458984375+ACI-
43574,16,+ACI-2659,5458984375+ACI-
321740,117,+ACI-2685,46340811966+ACI-
405687,147,+ACI-2695,09327168367+ACI-
1009014,362,+ACI-2722,00340987569+ACI-
2232746,796,+ACI-2739,21610003141+ACI-
1084673,384,+ACI-2758,46608479818+ACI-
3409257,1206,+ACI-2760,65716340174+ACI-
4846713,1703,+ACI-2779,28253908544+ACI-
1084673,380,+ACI-2787,50256990132+ACI-
1084673,378,+ACI-2802,25126074735+ACI-
2232746,777,+ACI-2806,19821830759+ACI-
107050,37,+ACI-2825,43285472973+ACI-
107050,37,+ACI-2825,43285472973+ACI-
2232746,771,+ACI-2828,036336738+ACI-
405687,140,+ACI-2829,84793526786+ACI-
1009014,346,+ACI-2847,87639992775+ACI-
2459010,834,+ACI-2879,34886465827+ACI-
3409257,1147,+ACI-2902,66132437881+ACI-
2232746,744,+ACI-2930,66668766801+ACI-
2459010,811,+ACI-2961,00734047472+ACI-
3363260,1107,+ACI-2966,96801603433+ACI-
107050,35,+ACI-2986,88616071429+ACI-
3409257,1105,+ACI-3012,98872313348+ACI-
3363260,1086,+ACI-3024,34032573665+ACI-
3409257,1099,+ACI-3029,43816111237+ACI-
478886,153,+ACI-3056,61509395425+ACI-
2232746,711,+ACI-3066,68919215893+ACI-
321740,100,+ACI-3141,9921875+ACI-
2232746,692,+ACI-3150,89019598988+ACI-
124105,38,+ACI-3189,37602796053+ACI-
2459010,743,+ACI-3232,00128280619+ACI-
3363260,1004,+ACI-3271,34820094621+ACI-
2459010,732,+ACI-3280,56960809426+ACI-
2459010,731,+ACI-3285,05739141587+ACI-
60606,18,+ACI-3288,0859375+ACI-
3363260,997,+ACI-3294,31654338014+ACI-
2232746,649,+ACI-3359,65487769646+ACI-
107050,31,+ACI-3372,2908266129+ACI-
69598,20,+ACI-3398,33984375+ACI-
2459010,701,+ACI-3425,64472628388+ACI-
2232746,623,+ACI-3499,86519361958+ACI-
3363260,928,+ACI-3539,26033809267+ACI-
3363260,927,+ACI-3543,07831040992+ACI-
43574,12,+ACI-3546,06119791667+ACI-
2459010,662,+ACI-3627,45763311934+ACI-
2232746,589,+ACI-3701,89476337012+ACI-
124105,32,+ACI-3787,38403320312+ACI-
3363260,856,+ACI-3836,95513288551+ACI-
43574,11,+ACI-3868,43039772727+ACI-
3363260,846,+ACI-3882,30921247045+ACI-
107050,26,+ACI-4020,80829326923+ACI-
107050,26,+ACI-4020,80829326923+ACI-
124105,29,+ACI-4179,18238146552+ACI-
2459010,558,+ACI-4303,54292674731+ACI-
107050,24,+ACI-4355,87565104167+ACI-
2459010,551,+ACI-4358,21588588929+ACI-
3363260,752,+ACI-4367,59786402926+ACI-
2459010,541,+ACI-4438,77440503697+ACI-
124105,26,+ACI-4661,39573317308+ACI-
124105,25,+ACI-4847,8515625+ACI-
124105,25,+ACI-4847,8515625+ACI-
86564,17,+ACI-4972,65625+ACI-
86564,17,+ACI-4972,65625+ACI-
124105,24,+ACI-5049,84537760417+ACI-
62303,11,+ACI-5531,16122159091+ACI-
69598,11,+ACI-6178,79971590909+ACI-
62372,8,+ACI-7613,76953125+ACI-
62303,6,+ACI-10140,4622395833+ACI-
78311,7,+ACI-10925,0837053571+ACI-
60606,5,+ACI-11837,109375+ACI-
62303,5,+ACI-12168,5546875+ACI-
78311,6,+ACI-12745,9309895833+ACI-
81702,6,+ACI-13297,8515625+ACI-
60606,4,+ACI-14796,38671875+ACI-
60606,4,+ACI-14796,38671875+ACI-
62303,4,+ACI-15210,693359375+ACI-
62303,4,+ACI-15210,693359375+ACI-
