 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
7522076,4547,+ACI-1615,521738234+ACI-
8297488,4998,+ACI-1621,25162565026+ACI-
3363260,2025,+ACI-1621,9425154321+ACI-
238026752,142931,+ACI-1626,29520537882+ACI-
647823360,388347,+ACI-1629,0585481541+ACI-
478886,287,+ACI-1629,48470165505+ACI-
1084673,650,+ACI-1629,61688701923+ACI-
3363260,2013,+ACI-1631,61132327372+ACI-
9945088,5935,+ACI-1636,39427127212+ACI-
647823360,385345,+ACI-1641,74960100689+ACI-
2232746,1327,+ACI-1643,11681659759+ACI-
1009014,599,+ACI-1645,01708576795+ACI-
647823360,384371,+ACI-1645,90981109397+ACI-
3409257,2016,+ACI-1651,4645531064+ACI-
8012705,4722,+ACI-1657,11715937368+ACI-
647823360,380899,+ACI-1660,91273539705+ACI-
7700653,4514,+ACI-1665,96565026861+ACI-
238026752,139385,+ACI-1667,66868744843+ACI-
7953382,4646,+ACI-1671,75518927572+ACI-
6897963,4027,+ACI-1672,78172142724+ACI-
7522076,4388,+ACI-1674,06047031677+ACI-
238026752,138503,+ACI-1678,28855692657+ACI-
647823360,376781,+ACI-1679,06555797665+ACI-
647823360,376691,+ACI-1679,46672471601+ACI-
9945088,5780,+ACI-1680,276816609+ACI-
8012705,4655,+ACI-1680,96825490064+ACI-
2232746,1296,+ACI-1682,41976514275+ACI-
238026752,138022,+ACI-1684,1373114431+ACI-
647823360,375607,+ACI-1684,31365762619+ACI-
6947882,4023,+ACI-1686,56251941959+ACI-
7953382,4601,+ACI-1688,10576165508+ACI-
463639,268,+ACI-1689,44948111007+ACI-
238026752,137327,+ACI-1692,66058386188+ACI-
6947882,4008,+ACI-1692,87450489646+ACI-
405687,234,+ACI-1693,07141426282+ACI-
8012705,4621,+ACI-1693,33633987503+ACI-
1084673,623,+ACI-1700,24233798154+ACI-
7522076,4318,+ACI-1701,1990143006+ACI-
848806,487,+ACI-1702,07825333676+ACI-
5963776,3418,+ACI-1703,92042129901+ACI-
238026752,135963,+ACI-1709,64159366887+ACI-
7700653,4398,+ACI-1709,90653599648+ACI-
7522076,4293,+ACI-1711,1058336245+ACI-
238026752,135694,+ACI-1713,03078986543+ACI-
647823360,367637,+ACI-1720,82788185085+ACI-
238026752,135016,+ACI-1721,63299164543+ACI-
1009014,572,+ACI-1722,66649366259+ACI-
238026752,134871,+ACI-1723,4839216733+ACI-
7953382,4506,+ACI-1723,69609617732+ACI-
6947882,3912,+ACI-1734,41743753195+ACI-
8297488,4670,+ACI-1735,12111884368+ACI-
8297488,4667,+ACI-1736,23647418042+ACI-
6947882,3901,+ACI-1739,30813012689+ACI-
7700653,4321,+ACI-1740,37698340951+ACI-
60606,34,+ACI-1740,75137867647+ACI-
4905254,2741,+ACI-1747,64214132616+ACI-
6897963,3854,+ACI-1747,87026263298+ACI-
9945088,5552,+ACI-1749,2795389049+ACI-
5178593,2891,+ACI-1749,29772624092+ACI-
8297488,4603,+ACI-1760,37706387139+ACI-
9945088,5514,+ACI-1761,33478418571+ACI-
8012705,4435,+ACI-1764,35337690248+ACI-
8012705,4428,+ACI-1767,14255342423+ACI-
8297488,4584,+ACI-1767,67356566318+ACI-
2459010,1356,+ACI-1770,92695658186+ACI-
2459010,1353,+ACI-1774,85362389135+ACI-
7953382,4359,+ACI-1781,82487023973+ACI-
7700653,4216,+ACI-1783,72128683883+ACI-
9945088,5442,+ACI-1784,63800073502+ACI-
9945088,5427,+ACI-1789,57066519256+ACI-
5963776,3251,+ACI-1791,44878498923+ACI-
6897963,3758,+ACI-1792,52048754324+ACI-
7522076,4096,+ACI-1793,40267181396+ACI-
1009014,549,+ACI-1794,83649248634+ACI-
4846713,2636,+ACI-1795,56834751992+ACI-
6897963,3736,+ACI-1803,07601503948+ACI-
7522076,4071,+ACI-1804,41595277573+ACI-
6947882,3757,+ACI-1805,97312100745+ACI-
7522076,4065,+ACI-1807,07929735547+ACI-
7700653,4161,+ACI-1807,29847279801+ACI-
9945088,5372,+ACI-1807,89277736411+ACI-
1084673,584,+ACI-1813,7859187714+ACI-
8012705,4304,+ACI-1818,05465301173+ACI-
5178593,2780,+ACI-1819,14378653327+ACI-
8012705,4298,+ACI-1820,59265392334+ACI-
848806,455,+ACI-1821,78485576923+ACI-
405687,217,+ACI-1825,7083453341+ACI-
6897963,3687,+ACI-1827,03878280106+ACI-
5963776,3187,+ACI-1827,42390963288+ACI-
7700653,4106,+ACI-1831,50729306198+ACI-
1009014,537,+ACI-1834,94457053073+ACI-
8012705,4233,+ACI-1848,54883689168+ACI-
9945088,5250,+ACI-1849,90476190476+ACI-
6947882,3664,+ACI-1851,81250426446+ACI-
7953382,4180,+ACI-1858,12789697967+ACI-
7700653,4034,+ACI-1864,1965655212+ACI-
5963776,3123,+ACI-1864,87351905219+ACI-
5963776,3121,+ACI-1866,06856776674+ACI-
8297488,4337,+ACI-1868,34577472908+ACI-
7700653,4024,+ACI-1868,82926076354+ACI-
8012705,4184,+ACI-1870,19771189352+ACI-
4905254,2561,+ACI-1870,47524770597+ACI-
8012705,4177,+ACI-1873,33187133409+ACI-
4846713,2519,+ACI-1878,96711554684+ACI-
5963776,3096,+ACI-1881,13695090439+ACI-
3409257,1767,+ACI-1884,18366670204+ACI-
8297488,4286,+ACI-1890,57760732618+ACI-
6947882,3582,+ACI-1894,20463864461+ACI-
4846713,2496,+ACI-1896,28131573017+ACI-
848806,436,+ACI-1901,1745627867+ACI-
5178593,2654,+ACI-1905,50856313583+ACI-
6897963,3534,+ACI-1906,1380849427+ACI-
5178593,2637,+ACI-1917,7928428375+ACI-
5178593,2633,+ACI-1920,70631468382+ACI-
6947882,3532,+ACI-1921,01954009768+ACI-
848806,430,+ACI-1927,70257994186+ACI-
3409257,1727,+ACI-1927,82428434424+ACI-
4905254,2482,+ACI-1930,01092239122+ACI-
43574,22,+ACI-1934,21519886364+ACI-
6897963,3474,+ACI-1939,05929539076+ACI-
4905254,2469,+ACI-1940,17298881126+ACI-
